景点名称,URL,失败原因
扎什伦布寺-陈列馆,https://you.ctrip.com/sight/shigatse100/145601053.html,未取到 poiId（无点评或页面无评论模块）
人民公园,https://you.ctrip.com/sight/shigatse100/144196086.html,未取到 poiId（无点评或页面无评论模块）
珠穆朗玛峰生物园保护区,https://you.ctrip.com/sight/tingri2450/144195983.html,未取到 poiId（无点评或页面无评论模块）
恩贡寺,https://you.ctrip.com/sight/shigatse100/145223227.html,未取到 poiId（无点评或页面无评论模块）
江孜宗山英雄纪念碑,https://you.ctrip.com/sight/gyantse2437/144197141.html,未取到 poiId（无点评或页面无评论模块）
纳帕海环湖路,https://you.ctrip.com/sight/shangrila106/5591404.html,已获取 poiId 但未采集到评论
仁龙巴冰川-露营地,https://you.ctrip.com/sight/basu120403/145480108.html,未取到 poiId（无点评或页面无评论模块）
八宿然乌国际自驾房车露营营地,https://you.ctrip.com/sight/basu120403/145686080.html,未取到 poiId（无点评或页面无评论模块）
然乌湖免费观景台,https://you.ctrip.com/sight/basu120403/149687815.html,未取到 poiId（无点评或页面无评论模块）
西藏然乌湖国家森林公园,https://you.ctrip.com/sight/basu120403/152794542.html,未取到 poiId（无点评或页面无评论模块）
噶陀寺,https://you.ctrip.com/sight/baiyu120485/133462.html,已获取 poiId 但未采集到评论
新都桥贡嘎雪山观景台,https://you.ctrip.com/sight/kangding344/5067139.html,已获取 poiId 但未采集到评论
惠远寺,https://you.ctrip.com/sight/daofu1446234/128096.html,已获取 poiId 但未采集到评论
阿布吉措,https://you.ctrip.com/sight/shangrila106/135953604.html,已获取 poiId 但未采集到评论
狮林寺,https://you.ctrip.com/sight/lhunzhub1446410/145269866.html,未取到 poiId（无点评或页面无评论模块）
拉萨鸣升水世界,https://you.ctrip.com/sight/lhasa36/152811888.html,未取到 poiId（无点评或页面无评论模块）
《实证万年 多元一体》21世纪西藏考古成果展,https://you.ctrip.com/sight/lhasa36/156357985.html,未取到 poiId（无点评或页面无评论模块）
西藏藏医药博物馆,https://you.ctrip.com/sight/lhasa36/148731957.html,未取到 poiId（无点评或页面无评论模块）
沱沱河,https://you.ctrip.com/sight/zhidoicounty1446321/145231839.html,已获取 poiId 但未采集到评论
林海银河瀑布,https://you.ctrip.com/sight/yadong120090/148635268.html,未取到 poiId（无点评或页面无评论模块）
